Artist_Name,Artist_ID
Tom Ferry,358
End of the World,359
Closed Doors,360
Ashley O,361
Pedro Capó,362
Charming Horses,363
Le P,364
Alex Mattson,365
Out Of Sound,366
ILIRA,367
KAROL G,368
Aitana,369
David Bisbal,370
Omar Montes,371
Morat,372
Daddy Yankee,373
Halsey,374
Lérica,375
Reik,376
Bad Gyal,377
Jonas Brothers,378
Anuel AA,379
Miki Núñez,380
Selena Gomez,381
Jhay Cortez,382
Eminem,383
Tainy,384
Major Lazer,385
Mariah Carey,386
Manuel Carrasco,387
Gregory Porter,388
The Weeknd,389
Juice WRLD,390
Antonio José,391
Lola Indigo,392
Post Malone,393
Lalo Ebratt,394
Niall Horan,395
Yera,396
Damien,397
Juanes,398
Taylor Swift,399
Sebastian Yatra,400
Alba Reche,401
Guaynaa,402
Pablo López,403
Lunay,404
Natalia Lacunza,405
Don Patricio,406
Lou Bega,407
Darude,408
Vengaboys,409
Mr. President,410
Eiffel 65,411
Aqua,412
Haddaway,413
Scatman John,414
Paradisio,415
La Bouche,416
Gigi D'Agostino,417
Britney Spears,418
SNAP!,419
Real McCoy,420
Chumbawamba,421
Ace of Base,422
Corona,423
Los Del Rio,424
Cher,425
Alice DJ,426
Prince Ital Joe,427
T-Spoon,428
The Mamas,429
Amber,430
Grace Gracie,431
C & C Music Factory,432
Robert Miles,433
Technotronic,434
Jennifer Lopez,435
2 Brothers On The 4th Floor,436
Des'ree,437
Spice Girls,438
Nelly,439
Captain Hollywood Project,440
Masterboy,441
Deee-Lite,442
Kylie Minogue,443
Culture Beat,444
Maxx,445
DJ Bobo,446
Salt-N-Pepa,447
Will Smith,448
Rednex,449
Vanilla Ice,450
Casey Derhak,451
Dune,452
Alice Deejay,453
Ice Mc,454
E-Rotic,455
*NSYNC,456
Sash!,457
Whigfield,458
Scooter,459
Me & My,460
Zombie Nation,461
The Bucketheads,462
Inner Circle,463
Cappella,464
Captain Jack,465
O-Zone,466
DJ Sammy,467
A Touch Of Class,468
Pet Shop Boys,469
Dr. Alban,470
Faithless,471
Madonna,472
DJ Jean,473
Grace,474
Double You,475
Hillsong UNITED,476
Hillsong Young & Free,477
Youngheart,478
Neon Feather,479
Verses,480
Tauren Wells,481
Local Sound,482
Dan Bremnes,483
Logan Pollard,484
TobyMac,485
Mass Anthem,486
Passion,487
Highlands Worship,488
Elizabeth Grace,489
Matthew Parker,490
Rachael Nemiroff,491
York Worship,492
Marci Coleman,493
Bryan Boliver,494
Marshall Marshall,495
Alive City,496
Bright Ones,497
Heather Schnoor,498
Apollo LTD,499
Manafest,500
Influence Music,501
The Young Escape,502
Cade Thompson,503
Influencers Worship,504
Hyper Fenton,505
Austin & Lindsey Adamec,506
Stars Go Dim,507
Citipointe Live,508
Platon Emil,509
Galactus Jack,510
Elevation Youth,511
Long Hollow Wave,512
ELEVATION RHYTHM,513
Planetshakers,514
Chris Howland,515
Canyon Hills Worship,516
Hollyn,517
Meredith Andrews,518
Newday,519
SEU Worship,520
GAWVI,521
Happi,522
Amplify Worship,523
For All Seasons,524
Holly Starr,525
Jabin Chavez,526
Northwood Worship,527
Brandon Seibert,528
WYLD,529
Heart Youth,530
The Vicious Vic,531
Urban Rescue,532
Nadia Grace,533
Tones and I,534
Covenants,535
Argui,536
ReauBeau,537
Gregor Potter,538
DJ MEG,539
FUNKYBEAT,540
Rubayne,541
Tim Hox,542
IIWII,543
Martin Mix,544
Bancali,545
Armand Van Helden,546
Venomenal,547
Noah Neiman,548
Tim van Werd,549
Ortzy,550
Brieuc,551
TheLavish,552
Rich Edwards,553
eSQUIRE,554
Matt Strike,555
Olmos,556
WHYLO,557
Funk Machine,558
REK,559
Steve Hartz,560
Julian Calor,561
Snareskin,562
The Partysquad,563
VIVID,564
Aerreo,565
Junior J,566
Karim Mika,567
Tom & Jame,568
Anthony Dircson,569
Costa Leon,571
Team Deep,572
Avoure,573
Eddie Thoneick,574
Sultan + Shepard,575
Pierce Fulton,576
Quentyn,577
Kydus,578
Lane 8,579
Afrojack,580
Curbi,581
Otherwise Fine,582
Calippo,583
Wolves By Night,584
Felix Cartal,585
Duskus,586
Junior Sanchez,587
EAUXMAR,588
Adam K,589
Watermät,590
The Him,591
Redondo,592
Linier,593
Kidnap,594
RKCB,595
Horisone,596
Who,597
Bolier,598
Tobtok,599
Mercer,600
Dannic,601
Dombresky,602
Hanne Mjøen,603
Radiology,604
RIRI,605
RAMMELLS,606
Thelma Aoyama,607
LOZAREENA,608
Lucky Kilimanjaro,609
BananaLemon,610
I Don't Like Mondays.,611
KEN THE 390,612
AYA A.K.A PANDA,613
YOSA & TAAR,614
NONA REEVES,615
Akane,616
Shin Sakiura,617
MaisonDe,618
Taichi Mukai,619
BoA,620
CIRRRCLE,621
IZ*ONE,622
ITZY,623
EXILE SHOKICHI,624
Reiji Kawaguchi,625
TaeyoungBoy,626
Rude-α,627
DJ RYOW,628
AmPm,629
Unwork,630
RIKE,631
ramhead,632
